Country,BEVS,ELLY
AT,127159.5,61898.09724
BE,154074.3,100934.2463
BG,73726.5,30750.6797
CY,16661.4,25511.25435
CZ,156124.5,30427.83435
DE,1012222.5,268370.6852
DK,60920.7,47150.88286
EE,12037.5,7655.984471
EL,123350.4,121642.4667
ES,690801.9,341501.2725
FI,68852.1,45029.6173
FR,844857.3,224291.7281
HR,44744.7,920
HU,101649.9,5410
IE,61705.8,100
IT,954843,384223.5108
LT,43662.9,8988.79103
LU,13731.3,5519.714815
LV,13577.4,4969.658853
MT,6000.3,1151.004792
NL,201081.9,94069.07512
PL,669437.4,71530.63702
PT,130448.7,51898.31999
RO,214491.6,10520
SE,119359.5,85478.30016
SI,32523.6,8970
SK,64596,21301.97903
UK,797011.8,224619.6226
CH,,
NO,,
