,Technology subtype  /  Period  /  Commod Unit,,,,,,,,,,,,,,,,,,
,null,,Fuel Cell,,Heat pump - air,,Heat pump - ground,,,,,,,,,,,,
,2020,2050,2020,2050,2020,2050,2020,2050,,,Delta 50-20,,,,,COP,,,
Region,PJ,PJ,PJ,PJ,PJ,PJ,PJ,PJ,,Region,null,Fuel Cell,'Heat pump - air,'Heat pump - ground,,null,Fuel Cell,'Heat pump - air,'Heat pump - ground
AT,25.4,30.5,,2.5,2.1,9.5,1.3,14.4,,AT,5.1,2.5,1.9,2.6152,,1,1,3.985,5
BE,42.1,47.3,,3.9,0.6,29.3,0.2,15.0,,BE,5.2,3.9,7.2,2.963,,,,,
BG,20.6,23.8,,0.6,,1.5,,,,BG,3.2,0.6,0.4,0,,,,,
CH,25.1,37.9,0.5,3.7,2.9,21.9,0.6,12.6,,CH,12.8,3.2,4.8,2.3964,,,,,
CY,4.2,4.8,0.0,0.2,,1.1,,0.0,,CY,0.6,0.2,0.3,0.0034,,,,,
CZ,33.9,39.0,,2.8,0.6,17.7,0.2,12.2,,CZ,5.2,2.8,4.3,2.4068,,,,,
DE,153.5,206.3,1.4,25.6,3.4,154.2,2.7,94.5,,DE,52.8,24.2,37.8,18.3558,,,,,
DK,15.0,19.5,,1.4,5.3,3.0,0.6,9.1,,DK,4.5,1.4,-0.6,1.6898,,,,,
EE,6.3,7.8,0.0,0.4,0.9,2.4,0.1,0.4,,EE,1.5,0.4,0.4,0.0608,,,,,
EL,43.1,50.7,,0.9,0.5,6.0,,7.3,,EL,7.6,0.9,1.4,1.4602,,,,,
ES,145.3,181.5,,11.7,7.1,24.6,0.0,11.9,,ES,36.2,11.7,4.4,2.3684,,,,,
FI,49.4,58.5,,3.7,19.2,13.2,1.5,14.9,,FI,9.0,3.7,-1.5,2.6924,,,,,
FR,297.9,370.6,,24.6,29.0,96.9,1.7,71.7,,FR,72.7,24.6,17.0,13.9892,,,,,
HR,14.5,12.0,0.2,0.7,,1.9,,5.3,,HR,-2.5,0.6,0.5,1.0604,,,,,
HU,17.6,20.9,,1.7,0.0,15.7,0.0,8.1,,HU,3.3,1.7,3.9,1.6184,,,,,
IE,15.7,17.7,,1.1,0.3,9.0,0.1,3.8,,IE,2.1,1.1,2.2,0.7218,,,,,
IT,95.2,209.5,,17.7,13.5,107.6,0.0,39.3,,IT,114.4,17.7,23.6,7.8468,,,,,
LT,5.6,6.8,0.2,0.3,0.1,1.3,0.1,1.1,,LT,1.2,0.1,0.3,0.1924,,,,,
LU,2.7,3.3,0.1,0.2,,2.3,,1.3,,LU,0.6,0.1,0.6,0.2598,,,,,
LV,4.2,6.1,0.1,0.5,,2.3,,1.2,,LV,2.0,0.4,0.6,0.2428,,,,,
Mt,1.3,1.2,,0.0,,,,,,Mt,0.0,0.0,0.0,0,,,,,
NL,40.9,84.1,0.1,6.6,12.1,59.8,0.4,13.1,,NL,43.1,6.5,12.0,2.5438,,,,,
NO,82.7,101.0,,1.5,7.5,12.5,0.3,0.8,,NO,18.3,1.5,1.3,0.0886,,,,,
PL,55.4,85.3,0.4,7.3,0.6,29.1,0.8,29.4,,PL,29.9,6.8,7.2,5.7172,,,,,
PT,20.5,26.2,,2.1,1.1,2.3,,,,PT,5.7,2.1,0.3,0,,,,,
RO,23.3,27.0,0.6,2.3,,7.1,,11.9,,RO,3.7,1.7,1.8,2.389,,,,,
SE,112.1,134.0,0.1,3.0,16.4,4.6,4.1,10.1,,SE,21.8,2.9,-3.0,1.1888,,,,,
SI,8.2,8.7,0.2,0.6,0.5,2.0,,2.1,,SI,0.5,0.4,0.4,0.4228,,,,,
SK,14.0,17.3,0.2,0.8,2.4,9.2,0.0,4.2,,SK,3.3,0.6,1.7,0.8384,,,,,
UK,213.5,448.1,,23.4,1.0,100.4,0.2,49.0,,UK,234.5,23.4,24.9,9.7634,,,,,
