Tech,BIO_COMC,BIO_STUR,Biogas_ICEN,GAS_COMC,GAS_STUR,HRD_COMC,LIG_STUR,OIL_COMC
AT,2061,0,30,0,0,0,246,0
BE,20,1622,0,226,0,0,0,0
BG,66,11,64,0,213,0,0,0
CH,0,450,68,0,0,0,0,0
CY,0,0,25,0,0,0,0,0
CZ,1597,0,0,713,0,0,0,0
DE,9769,384,11,8513,0,0,0,216
DK,506,0,69,0,0,12,0,0
EE,73,0,85,35,0,0,0,0
EL,238,163,0,21,0,0,0,0
ES,2164,1948,0,0,0,0,0,0
FI,2161,236,377,0,0,0,0,0
FR,4191,0,1600,379,0,0,0,0
HR,170,0,0,0,0,0,0,0
HU,563,0,612,98,0,0,0,15
IE,545,0,0,379,0,0,0,0
IT,5783,244,529,1408,0,0,0,0
LT,0,44,175,0,0,0,0,0
LU,75,0,0,146,0,0,0,0
LV,52,0,0,0,0,0,0,0
MT,0,0,0,0,0,0,0,0
NL,2101,0,43,1257,0,0,0,0
NO,1013,0,0,208,0,0,0,0
PL,3756,0,55,0,0,0,0,0
PT,694,465,0,300,0,0,0,0
RO,390,67,0,0,453,0,0,0
SE,1571,13,485,0,0,0,0,0
SI,327,24,35,11,0,0,0,0
SK,614,0,25,1911,0,0,0,0
UK,6363,17,0,2037,0,0,0,0
