PowerCapacity,Unit,Year,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency
0,,,,*,*,1,0,0,0.02,0.02,0,0,0,0,1,0,0,,,,,,,,,,,
150,,,,STUR,*,0.3,4,4,0.02,0.02,65,0,0,0.5,0.3,0,0,,,,,,,,,,,
420,XYZ,2009,XYZ,COMC,BIO,0.51,3,3,0.07,0.07,55,2.9,0.25,0.062171053,0.57,1,0.211692827,Extraction,0.95,0.213,,,,,,,,
64,XYZ,2009,XYZ,GTUR,BIO,0.33,1,1,0.166666667,0.166666667,25,2.9,0.25,0.2,0.33,0.166666667,0.3208,back-pressure,0.55,0,,,,,,,,
25,PZ Osatina_Bovis,1989,HR,ICEN,BIO,0.36,1,1,0.04,0.04,24,0,0.63,0.25,0.49,1,0.2691,back-pressure,0.75,0,,,,,,,,
180,Rodenhuize,2009,BE,STUR,BIO,0.4,4,6,0.02,0.02,120,12.5,1.3,0.4,0.35,1,0.417390427,Extraction,0.45,0.238,,,,,,,,
420,Amercoeur,2009,BE,COMC,GAS,0.51,3,3,0.07,0.07,55,2.9,0.25,0.062171053,0.57,1,0.3569,Extraction,0.95,0.213,,,,,,,,
750,COMC_GAS_CCS,2050,EU,COMC_CCS,GAS,0.43,3,3,0.07,0.07,55,2.9,0.25,0.062,0.2,1,0.03569,Extraction,0.95,0.213,,,,,,,,
64,Angleur 4 GT 1,2012,BE,GTUR,GAS,0.33,1,1,0.166666667,0.166666667,25,2.9,0.25,0.2,0.33,0.166666667,0.6839,back-pressure,0.55,0,,,,,,,,
10,Wartsila 34SG,2017,UK,ICEN,GAS,0.36,0,0,1,1,0,0,0,0.3,0.49,0,0.0076,back-pressure,0.75,0,,,,,,,,
120,Herrenhausen B,1975,DE,STUR,GAS,0.368,1,1,0.02,0.02,25,2.9,0.25,0.4,0.38,0.166666667,0.531963913,Extraction,0.4666,0.23,,,,,,,,
40,Svartsengi,2014,IC,STUR,GEO,0.1,2,2,0.02,0.02,0,0,0,0,0.1,0,0,Extraction,0.22,0.169,,,,,,,,
500,GTUR_GAS_CCS,2050,EU,COMC,HRD,0.3051,1,1,0.01,0.01,720.36,3.1,1.8,0.2,0.2,1,0.04127,,,,,,,,,,,
764,Westfalen D,2015,DE,STUR,HRD,0.42,6,6,0.04,0.04,65,12.5,1.8,0.182119205,0.46,2,0.4717,Extraction,0.45,0.256,,,,,,,,
500,STUR_HRD_CCS,2050,EU,STUR,HRD,0.3124,1,1,0.01,0.01,519.8,3.1,1.8,0.2,0.2,1,0.872,,,,,,,,,,,
604,Neurath E,1976,DE,STUR,LIG,0.4,8,8,0.007692308,0.007692308,65,8,2.2,0.43,0.395,7,1.15,Extraction,0.45,0.236,,,,,,,,
1008,Tihange 2,1983,BE,STUR,NUC,0.34,24,24,0.05,0.05,300,12.5,2.2,0.25,0.34,12,0,,,,,,,,,,,
70,GTUR Oil,1973,DE,GTUR,OIL,0.33,0,0,0.166666667,0.166666667,0,0,0,0.2,0.33,0.166666667,10.796,back-pressure,0.55,0,,,,,,,,
386,Ingolstadt 3 - mehring,1973,DE,STUR,OIL,0.33,5,5,0.02,0.02,120,0,1.8,0.4,0.33,1,0.7246,Extraction,0.45,0.11,,,,,,,,
0,Eva,2016,HR,BATS,OTH,0.89,0,0,1,1,0,0,0,0,0.89,0,0,,,,,,,,0,0,0,0.89
0,HR_Evs_Eva,2016,HR,BEVS,OTH,0.89,0,0,1,1,0,0,0,0,0.7,0,0,,,,,,,,0,0,0,0.89
0,HP,2016,Z1,P2HT,OTH,1,0,0,1,1,0,0,0,0,0,0,0,,,,3,10,0.01,0.01,,,,
70,HR_STUR_OTH,2016,HR,STUR,OTH,0.33,0,0,0.166666667,0.166666667,0,0,0,0.2,0.33,0.166666667,0.799636364,back-pressure,0.55,0,,,,,,,,
25,Vao,2009,BE,STUR,PEA,0.4,4,6,0.02,0.02,120,12.5,1.3,0.4,0.35,1,0,Extraction,0.5,0.2,,,,,,,,
150,Andasol solar power station,2011,ES,SCSP,SUN,1,2,2,0.021276596,0.021276596,0,0,0,0,0.395,0,0,,,,,,,,0,0,0,
0,,,,HDAM,WAT,0.89,0,0,1,1,0,0,0,0,1,0,0,,,,,,,,0,0,0,0.89
0,,,,HPHS,WAT,0.89,0,0,1,1,0,0,0,0,1,0,0,,,,,,,,0,0,0,0.89
45,Icen Zgb,1970,HR,ICEN,WST,0.42,1,1,0.04,0.04,24,0,0.63,0.25,0.49,1,0.2691,back-pressure,0.81,0.14,,,,,,,,
48, llheizkraftwerk Essen-Karnap,1987,DE,STUR,WST,0.2,5,5,0.02,0.02,65,0,1.8,0.4,0.2,1,0,Extraction,0.4,0.23,,,,,,,,
0,Eva_new,,,P2GS,HYD,0.46,0,0,1,1,0,0,0,0,0.47,0,0,,,,,,,,0,0,0,0.72
