Region1,BIO,GAS,GEO,HYD,NUC,OIL,SUN,WAT,WIN,HRD,LIG,PEA,WST
IS,694,0,0,,0,0,0,2615,0,0,0,,0
AL,0,700,0,,0,0,80,2870,150,0,0,,0
AT,505.4269006,4164,114.5730994,,0,174,4500,21570.08377,5000,0,0,,984
BA,0,0,0,,0,0,100,2704,640,0,2536,,0
BE,1166.632518,6352,139.9674823,,0,0,5050.5,2575,5608,0,0,,1157
BG,121.7549325,718,228.2450675,,2200,0,2000,4333,1250,168,3895,,1579
CH,1300,0,0,,1190,0,5600,22312,370,0,0,,985
CY,40,660,0,,0,1004.5,688,0,275,0,0,,0
CZ,961.1650335,1379,205.8349665,,4055,0,3540,2415,950,251,4760,,1505
DE,5870.496084,35200,1429.503916,,0,3200,91300,24600,98500,9800,9300,,4100
DK,1664.27284,430,221.1271605,,0,817,2939,6.6082,8501,410,0,,99.1
EE,126.65,0,0,,0,656,100,10,1500,0,0,,150
EL,450,6260,0,,0,228,4000,5573,6200,0,2251,,0
ES,2510.91954,24560,39.08045977,,7117,0,40000,31330,31000,4660,0,,8500
FI,2885,1474,0,,4560,1300,1200,3200,3000,714,0,,450
FR,3592.098551,11496,45.90144928,,37640,1479,31515,32994,43336,0,0,,0
HR,171.2846348,1300,228.7153652,,0,0,200,3100,1500,700,0,,200
HU,319.0397351,3179,90.9602649,,4248,410,2000,60,1000,108,0,,355
IE,221.0312862,3781,128.9687138,,0,500,500,1100,6200,0,80,,160
IT,4670.786677,32704.564,582.0672232,,0,354,25190,27825.00075,16229.5,5186,0,,5785
LT,132.3477564,464,66.65224359,,0,0,80,2388,750,0,0,,227
LU,51.3,0,0,,0,0,200,2370,200,0,0,,90
LV,295,1031,0,,0,0,10,1619,450,0,0,,150
ME,39,0,0,,0,0,30,1271,250,0,450,,0
MK,26,290,0,,0,0,32,798,100,120,915,,0
MT,0,375,0,,0,210,277.271,0,0,0,0,,0
NL,472.4930876,7592.8,34.50691244,,486,0,11439,38,18222.98,4608,0,,3539
NO,76.303,435,0,,0,0,400,36931.608,3330.3,0,0,,0
PL,1351.123763,5741,404.8762366,,3000,0,2430,3934,11450,13771,7405,,7276
PT,535.65625,3727,307.34375,,0,0,1816,13320.8,5614,0,0,,1052
RO,500,3241.096,0,,2630,0,2000,6600.477767,4200,85,3440.5,,0
RS,118,580,0,,0,0,200,5048,1068,0,5306,,0
SE,4533,0,0,,6852,0,1740,16184,10970,80,0,,390
SI,54.33193277,395,12.66806723,,696,0,320,2700,80,50,539,,159
SK,348.2425233,241.41,156.9543767,,2890,0,716,4752,264.5,0,240.28,,898.606
TR,1250,29415,0,,8400,673.8,8000,38036,20170,14116.5,15673.3,,500
UK,7140.642304,31973,1097.957696,,5686,345,24894,1895,39847,0,0,,6066
