0,Autoproducers,BIO_COMC,BIO_GTUR,BIO_ICEN,BIO_COMC_CCS,BIO_STUR,Biogas_ICEN,GAS_COMC,GAS_COMC_CCS,GAS_GTUR,GAS_ICEN,GAS_STUR,HDAM,HPHS,HROR,WTOF,WTON,HRD_COMC,HRD_GTUR,HRD_ICEN,HRD_STUR,HRD_COMC_CCS
AT,0,2040.5,963.5,0,0,89,30,4081,4354,1927,0,178,3684,2055,6280,0,12362,0,0,0,0,0
BE,308,6498,2886,0,0,0,0,12996,7571,5772,0,0,0,0,105,3864,18130,0,0,0,0,0
BG,0,1638,564.5,0,0,106.5,64,3276,439,1129,0,213,1933,0,51,0,6935,0,0,0,0,0
CH,0,3605,721,0,0,0,68,7210,0,1442,0,0,8303,1835,3456,0,12125,0,0,0,0,0
CY,0,193,110,0,0,0,25,386,166,220,0,0,0,0,1,0,1,0,0,0,0,0
CZ,181,2928,1630,0,0,0,0,5856,3305,3260,0,0,793,280,227,0,41890,0,0,0,0,0
DE,0,52031.5,12998,0,0,0,11,104063,0,25996,0,0,1166,275,3402,105545,106972,0,0,0,0,0
DK,0,3891.5,987,0,0,0,69,7783,0,1974,0,0,0,0,1,1246,46685,0,0,0,0,0
EE,0,589.5,236.5,0,0,716,85,1179,562,473,0,1432,0,0,1,868,7843,0,0,0,0,0
EL,0,1178,2802,0,0,0,0,2356,0,5604,0,0,2358,0,49,0,6791,0,0,0,0,0
ES,0,7716.5,16610.5,0,0,0,0,15433,10994,33221,0,0,10075,1076,2733,0,80422,0,0,0,0,0
FI,0,4579,1022,0,0,120,377,9158,1205,2044,0,240,3035,1585,36,19982,19732,0,0,0,0,0
FR,0,32166.5,11782.5,0,0,0,1600,64333,0,23565,0,0,12639,9704,5340,0,310005,0,0,0,0,0
HR,198,733,269,0,0,0,0,1466,1028,538,0,0,1533,321,315,0,563,0,0,0,0,0
HU,0,1879,1293.5,0,0,0,612,3758,3818,2587,0,0,0,0,49,0,12701,0,0,0,0,0
IE,0,423.5,2188,0,0,37,0,847,0,4376,0,74,215,178,19,1000,4396,0,0,0,0,0
IT,0,19773,16668,0,0,0,529,39546,4210,33336,0,0,11229,6145,4726,0,90694,0,0,0,0,0
LT,0,694,465.5,0,0,85,175,1388,298,931,0,170,116,0,0,10,9643,0,0,0,0,0
LU,0,707,240.5,0,0,0,0,1414,1808,481,0,0,34,11,17,0,300,0,0,0,0,0
LV,345,671.5,162,0,0,0,0,1343,0,324,0,0,1536,0,0,200,5861,0,0,0,0,0
MT,0,181.5,42.5,0,0,0,0,363,15,85,0,0,0,0,1,11,238,0,0,0,0,0
NL,1635,9893.5,8373.5,0,0,0,43,19787,0,16747,0,0,0,0,37,48750,43879,0,0,0,0,0
NO,0,750.5,471.5,0,0,0,0,1501,865,943,0,0,21233,0,5989,0,14144,0,0,0,0,0
PL,1717,15388.5,3578.5,0,0,0,55,30777,0,7157,0,0,463,1649,464,20482,78772,0,0,0,0,0
PT,0,1462,2374,0,0,0,0,2924,31,4748,0,0,1814,1633,2203,0,7290,0,0,0,0,0
RO,186,3658.5,1609,0,0,226.5,0,7317,0,3218,0,453,6282,53,0,0,14557,0,0,0,0,0
SE,0,1506,1631.5,0,0,0,485,3012,1812,3263,0,0,8117,2080,8117,140,93272,0,0,0,0,0
SI,0,766,245,0,0,0,35,1532,1129,490,0,0,932,1130,192,0,2425,0,0,0,0,0
SK,200,1609,629.5,0,0,0,25,3218,2343,1259,0,0,845,397,751,0,19001,0,0,0,0,0
UK,955,31083.5,23249.5,0,0,0,0,62167,0,46499,0,0,1501,671,140,43451,220196,0,0,0,0,0
